name,rank,branch,incidentdate,state,day,month,year,pop1950
"ABBOTT, RICHARD",Pfc,UNITED STATES ARMY,11/30/50,VERMONT,30,11,1950,377000
"ABEL, DONALD",Pvt,UNITED STATES ARMY,11/4/50,PENNSYLVANIA,4,11,1950,10498012
"ABELE, FRANCIS",Sfc,UNITED STATES ARMY,11/2/50,CONNECTICUT,2,11,1950,2007280
"ABELES, GEORGE",Pvt,UNITED STATES ARMY,8/28/50,CALIFORNIA,28,8,1950,10586223
"ABERCROMBIE, AARON",1st Lt,UNITED STATES AIR FORCE,11/1/50,ALABAMA,1,11,1950,3060000
"ABREU, MANUEL",Pfc,UNITED STATES ARMY,11/1/50,MASSACHUSETTS,1,11,1950,4690000
"ACEVEDO, ISAAC",Cpl,UNITED STATES ARMY,9/18/52,PUERTO RICO,18,9,1952,2210000
"ACINELLI, BILL",Pfc,UNITED STATES ARMY,4/25/51,MISSOURI,25,4,1951,3946000
"ACKLEY, EDWIN",Pvt,UNITED STATES ARMY,11/26/50,NEW YORK,26,11,1950,14830192
"ACKLEY, PHILIP",Pvt,UNITED STATES ARMY,11/2/50,NEW HAMPSHIRE,2,11,1950,531000
"ACOCK, PRESTON",Cpl,UNITED STATES ARMY,3/8/51,MISSOURI,8,3,1951,3946000
"ACOSTA, FRANCISCO",Cpl,UNITED STATES ARMY,1/28/52,PUERTO RICO,28,1,1952,2210000
"ACTKINSON, MARVIN",Pfc,UNITED STATES ARMY,12/2/50,TEXAS,2,12,1950,7748000
"ACTON, FLOYD",Pfc,UNITED STATES ARMY,5/17/51,INDIANA,17,5,1951,3952000
"ACUNA-OTERO, ANGEL",Pfc,UNITED STATES ARMY,9/18/52,NEW JERSEY,18,9,1952,4860000
"ADAME, RUBEN",PFC,UNITED STATES MARINE CORPS,4/23/51,TEXAS,23,4,1951,7748000
"ADAMO, JOSEPH",Pfc,UNITED STATES ARMY,11/30/50,NEW YORK,30,11,1950,14830192
"ADAMS, ALFRED",Cpl,UNITED STATES ARMY,11/27/50,KENTUCKY,27,11,1950,2957000
"ADAMS, ANGUS",Pfc,UNITED STATES ARMY,7/10/53,MISSISSIPPI,10,7,1953,2169000
"ADAMS, BILLIE",Cpl,UNITED STATES ARMY,11/2/50,ARKANSAS,2,11,1950,1906000
"ADAMS, BOSIE",Pfc,UNITED STATES ARMY,12/1/50,MONTANA,1,12,1950,598000
"ADAMS, CHARLES",Pfc,UNITED STATES ARMY,7/7/50,PENNSYLVANIA,7,7,1950,10498012
"ADAMS, DARYL",Pvt,UNITED STATES ARMY,7/30/50,CALIFORNIA,30,7,1950,10586223
"ADAMS, DONALD",Capt,UNITED STATES AIR FORCE,10/31/52,WISCONSIN,31,10,1952,3449000
"ADAMS, DONALD",ENS,UNITED STATES NAVY,8/14/52,MISSOURI,14,8,1952,3946000
"ADAMS, ELNO",PFC,UNITED STATES MARINE CORPS,5/9/52,OHIO,9,5,1952,7946627
"ADAMS, HARRY",Pfc,UNITED STATES ARMY,2/12/51,KANSAS,12,2,1951,1915000
"ADAMS, JAMES",Cpl,UNITED STATES ARMY,11/29/50,INDIANA,29,11,1950,3952000
"ADAMS, JOHN",1st Lt,UNITED STATES AIR FORCE,6/10/52,CALIFORNIA,10,6,1952,10586223
"ADAMS, JOHN",Pvt,UNITED STATES ARMY,7/27/50,ARIZONA,27,7,1950,756000
"ADAMS, LOREN",Pvt,UNITED STATES ARMY,12/2/50,WEST VIRGINIA,2,12,1950,2006000
"ADAMS, MELVILLE",Capt,UNITED STATES ARMY,12/1/50,FLORIDA,1,12,1950,2821000
"ADAMS, MELVIN",Pvt,UNITED STATES ARMY,12/15/50,TENNESSEE,15,12,1950,3304000
"ADAMS, ROBERT",1st Lt,UNITED STATES AIR FORCE,9/29/51,CALIFORNIA,29,9,1951,10586223
"ADAMS, ROBERT",1st Lt,UNITED STATES ARMY,7/28/50,TENNESSEE,28,7,1950,3304000
"ADAMS, ROBERT",Capt,UNITED STATES AIR FORCE,1/31/52,NEW JERSEY,31,1,1952,4860000
"ADAMS, ROBERT",Cpl,UNITED STATES ARMY,12/1/50,MASSACHUSETTS,1,12,1950,4690000
"ADAMS, ROBERT",PFC,UNITED STATES MARINE CORPS,11/28/50,CALIFORNIA,28,11,1950,10586223
"ADAMS, RONALD",Pfc,UNITED STATES ARMY,11/2/50,NEW YORK,2,11,1950,14830192
"ADAMS, TROULIUS",Sfc,UNITED STATES ARMY,11/28/50,KENTUCKY,28,11,1950,2957000
"ADAMS, WILLIAM",1st Lt,UNITED STATES ARMY,11/28/50,FLORIDA,28,11,1950,2821000
"ADAMS, WILLIE",Cpl,UNITED STATES ARMY,2/15/51,ARKANSAS,15,2,1951,1906000
"ADKINS, CLIFFORD",Pfc,UNITED STATES ARMY,7/20/50,WEST VIRGINIA,20,7,1950,2006000
"ADKINS, VERNON",Pfc,UNITED STATES ARMY,7/16/50,MICHIGAN,16,7,1950,6421000
"ADKINSON, HAROLD",Cpl,UNITED STATES ARMY,5/19/51,SOUTH CAROLINA,19,5,1951,2119000
"ADLER, ERNEST",2nd Lt,UNITED STATES AIR FORCE,10/15/51,MASSACHUSETTS,15,10,1951,4690000
"ADLER, JUNIOR",1st Lt,UNITED STATES AIR FORCE,5/7/51,WASHINGTON,7,5,1951,2386000
"AFFLERBACH, ROBERT",2nd Lt,UNITED STATES ARMY,6/12/53,TEXAS,12,6,1953,7748000
"AGARD, ROBERT",Pfc,UNITED STATES ARMY,7/19/50,RHODE ISLAND,19,7,1950,779000
"AGUEL, HENRY",Cpl,UNITED STATES ARMY,11/2/50,CALIFORNIA,2,11,1950,10586223
"AGUIAR-MARQUEZ, ENRIQUE",Pvt,UNITED STATES ARMY,9/24/52,PUERTO RICO,24,9,1952,2210000
"AGUILAR, RICHARD",Pfc,UNITED STATES ARMY,11/30/50,TEXAS,30,11,1950,7748000
"AGUIRRE, SANTIAGO",PFC,UNITED STATES MARINE CORPS,12/2/50,TEXAS,2,12,1950,7748000
"AHLERS, JOHN",Capt,UNITED STATES AIR FORCE,8/10/52,ILLINOIS,10,8,1952,8712176
"AIKEN, JAMES",Cpl,UNITED STATES AIR FORCE,12/29/50,CALIFORNIA,29,12,1950,10586223
"AIMER, JOHN",Pvt,UNITED STATES ARMY,11/29/50,TEXAS,29,11,1950,7748000
"AKERS, BOBBY",Pfc,UNITED STATES ARMY,11/1/50,WEST VIRGINIA,1,11,1950,2006000
"AKERS, DONALD",Capt,UNITED STATES AIR FORCE,10/4/51,CALIFORNIA,4,10,1951,10586223
"AKERS, HERBERT",Pfc,UNITED STATES ARMY,12/1/50,INDIANA,1,12,1950,3952000
"AKERS, JAMES",Cpl,UNITED STATES MARINE CORPS,12/2/50,VIRGINIA,2,12,1950,3262000
"AKERS, RICHARD",1st Lt,UNITED STATES ARMY,2/9/51,PENNSYLVANIA,9,2,1951,10498012
"AKI, CLARENCE",Cpl,UNITED STATES ARMY,8/12/50,HAWAII,12,8,1950,491000
"AKIN, ROLAN",1st Lt,UNITED STATES AIR FORCE,9/12/51,OKLAHOMA,12,9,1951,2193000
"AKINS, LARRY",Sgt,UNITED STATES AIR FORCE,4/7/51,GEORGIA,7,4,1951,3451000
"ALANIZ, ROBERT",Cpl,UNITED STATES ARMY,11/30/50,ARIZONA,30,11,1950,756000
"ALBERS, WINSTON",Sgt,UNITED STATES ARMY,11/30/50,COLORADO,30,11,1950,1337000
"ALBERT, DONALD",Pvt,UNITED STATES ARMY,8/30/51,WISCONSIN,30,8,1951,3449000
"ALBERT, HENRY",PFC,UNITED STATES MARINE CORPS,12/8/50,CALIFORNIA,8,12,1950,10586223
"ALBERT, RICHARD",PFC,UNITED STATES MARINE CORPS,8/15/52,VIRGINIA,15,8,1952,3262000
"ALBEY, JAMES",Pfc,UNITED STATES ARMY,12/2/50,OKLAHOMA,2,12,1950,2193000
"ALBRECHT, JOHN",Pfc,UNITED STATES ARMY,7/12/50,PENNSYLVANIA,12,7,1950,10498012
"ALBRIGHT, RICHARD",A1C,UNITED STATES AIR FORCE,7/4/52,NEW MEXICO,4,7,1952,687000
"ALCORN, PHILLIP",Pvt,UNITED STATES ARMY,2/18/51,MICHIGAN,18,2,1951,6421000
"ALDANA, GERARDO",Pfc,UNITED STATES ARMY,12/2/50,ARIZONA,2,12,1950,756000
"ALDERDICE, BOYD",1st Lt,UNITED STATES ARMY,11/28/50,OHIO,28,11,1950,7946627
"ALDERDICE, JAMES",Cpl,UNITED STATES ARMY,11/2/50,PENNSYLVANIA,2,11,1950,10498012
"ALDRIDGE, EUGENE",1st Lt,UNITED STATES AIR FORCE,7/11/53,FLORIDA,11,7,1953,2821000
"ALES, MARION",1st Lt,UNITED STATES ARMY,11/30/50,WASHINGTON,30,11,1950,2386000
"ALEXA, ANTHONY",Pfc,UNITED STATES ARMY,11/28/50,MASSACHUSETTS,28,11,1950,4690000
"ALEXANDER, COLBERT",Cpl,UNITED STATES MARINE CORPS,12/1/50,LOUISIANA,1,12,1950,2701000
"ALEXANDER, DENNIS",Cpl,UNITED STATES ARMY,12/1/50,MISSISSIPPI,1,12,1950,2169000
"ALEXANDER, HOWARD",Pvt,UNITED STATES ARMY,11/2/50,ALABAMA,2,11,1950,3060000
"ALEXANDER, JACK",Pfc,UNITED STATES ARMY,7/12/50,WISCONSIN,12,7,1950,3449000
"ALEXANDER, JAMES",Cpl,UNITED STATES ARMY,4/25/51,KANSAS,25,4,1951,1915000
"ALEXANDER, LONNIE",Pfc,UNITED STATES ARMY,11/28/50,FLORIDA,28,11,1950,2821000
"ALEXANDER, LUCIUS",Pfc,UNITED STATES ARMY,7/8/53,MISSISSIPPI,8,7,1953,2169000
"ALEXANDER, MARVIN",Pfc,UNITED STATES ARMY,1/12/52,MICHIGAN,12,1,1952,6421000
"ALFARO-ALFARO, HECTOR",Pvt,UNITED STATES ARMY,9/24/52,PUERTO RICO,24,9,1952,2210000
"ALFRED, DAN",Pfc,UNITED STATES ARMY,11/26/51,KENTUCKY,26,11,1951,2957000
"ALICEA-COTO, LUIS",Pfc,UNITED STATES ARMY,9/17/52,PUERTO RICO,17,9,1952,2210000
"ALKIRE, JIMMIE",2nd Lt,UNITED STATES AIR FORCE,9/9/52,NEBRASKA,9,9,1952,1324000
"ALLAN, DONALD",Cpl,UNITED STATES ARMY,7/3/52,PENNSYLVANIA,3,7,1952,10498012
"ALLBRITTON, RAYMOND",Pfc,UNITED STATES ARMY,7/27/50,MISSOURI,27,7,1950,3946000
"ALLEMAND, PERCY",Pvt,UNITED STATES ARMY,4/30/51,LOUISIANA,30,4,1951,2701000
"ALLEN, BILLY",Sfc,UNITED STATES ARMY,12/6/50,KANSAS,6,12,1950,1915000
"ALLEN, CHARLES",1st Lt,UNITED STATES AIR FORCE,1/31/52,MISSISSIPPI,31,1,1952,2169000
"ALLEN, CHELCIA",Pfc,UNITED STATES ARMY,7/22/50,LOUISIANA,22,7,1950,2701000
"ALLEN, GLEN",1stLt,UNITED STATES MARINE CORPS,1/18/53,MINNESOTA,18,1,1953,2995000
"ALLEN, HENRY",Pfc,UNITED STATES ARMY,11/27/50,PENNSYLVANIA,27,11,1950,10498012
