date,year,month,weekday,type,event,description,media
2017-11-29,2017,11,4,Missile Provocation,Inter-continential Ballistic Missile Launch,"North Korea launched a new ballistic missile (Hwasong-15) from Pyongsong, South Pyongan province into the East Sea. The missile flew for about 50 minutes and travelled approximately 940 km on a lofted trajectory.  Experts assess that the missile could travel a distance of 13,000 km if fired at a standard trajectory.",http://www.cnn.com/2017/11/28/politics/north-korea-missile-launch/index.html
2017-09-15,2017,9,6,Missile Provocation,Intermediate-range Ballistic Missile Launch,"North Korea fired a missile over Japanese territory into the Pacific Ocean from a location near Pyongyang. The missile is expected to be the same type fired on August 29 (Hwasong-12) and reportedly travelled approximately 3,700 km.",https://www.cnbc.com/2017/09/14/north-korea-may-have-launched-a-missile-according-to-reports.html
2017-09-03,2017,9,1,Nuclear Provocation,Nuclear Test,North Korea claims to have conducted a 6th nuclear test after an earthquake measuring 6.3 mb on the magnitude scale (USGS) is detected near Punggye-ri.  North Korean state media announced that the test was of a hydrogen bomb.,http://www.cnn.com/2017/09/03/asia/north-korea-nuclear-test-live-updates/index.html
2017-08-29,2017,8,3,Missile Provocation,Ballistic Missile Launch (type unknown),"North Korea launched a ballistic missile over Japan. The missile was fired from a location near Pyongyang and flew about 2,700 kilometers before landing in the Pacific Ocean approximately 1,180 kilometers from the Japanese coast. Details about the missile were not immediately available.",http://www.cnn.com/2017/08/28/politics/north-korea-launch-unidentified-projectile/index.html
2017-08-26,2017,8,7,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired three short-range missiles into the East Sea from Kittaeryong. Two missiles reportedly travelled about 250 kilometers before landing in the sea and one missile blew up shortly after launch. Details about the type of missiles launched were not immediately available.,http://www.cnn.com/2017/08/28/asia/north-korea-missile-test/index.html
2017-07-28,2017,7,6,Missile Provocation,Inter-continental Ballistic Missile Launch,"At 11:41PM KST on Friday, July 28 North Korea launched a missile into the East Sea/Sea of Japan from North Korea's northwestern Jagang province. The missile reportedly flew for 45 minutes in a ""lofted"" trajectory reaching a height of approximately 3,700 kilometers and a distance of 1,000 kilometers before splashing down in Japan's exclusive economic zone.",https://www.washingtonpost.com/world/asia_pacific/north-korea-fires-another-missile-its-latest-step-toward-putting-the-us-within-reach/2017/07/28/7fc4437a-71fd-11e7-8c17-533c52b2f014_story.html?utm_term=.d2de50d3f181
2017-07-04,2017,7,3,Missile Provocation,Inter-continental Ballistic Missile Launch,"North Korea claims to have launched an inter-continental ballistic missile (ICBM) from a location near Banghyon, North Pyongan Province. The new missile (Hwasong-14) traveled approximately 580 miles before falling into the sea near Japan. The launch comes just days after the conclusion of a U.S.-ROK summit in Washington and just before the scheduled G-20 summit in Germany.",https://www.reuters.com/article/us-northkorea-missiles-idUSKBN19P02W
2017-06-08,2017,6,5,Missile Provocation,Short-range Missile Launch,North Korea fired four surface-to-ship missiles from a location near Wonsan. According to the South Korean military the missiles flew about 200 km (125 miles) before landing in the East Sea.,http://www.cnn.com/2017/06/07/asia/north-korea-missiles-launch/index.html
2017-05-29,2017,5,2,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea test-fired a short-range ballistic missile at location near Wonsan on the east coast. According to the South Korean military the missile flew about 450 km. North Korean state media described the projectile launched as an ""ultra-precision"" Scud missile.",http://www.cnn.com/2017/05/29/asia/north-korea-missile-test-warhead/index.html?sr=twcnni053017north-korea-missile-test-warhead1017AMVODtopLink&linkId=38142828
2017-05-27,2017,5,7,Missile Provocation,Short-range Missile Launch,North Korean state media claimed to have successfully tested a surface-to-air missile (KN-06) system. The exact timing of the test is unknown.,http://thediplomat.com/2017/05/north-korea-declares-kn-06-surface-to-air-missile-system-operational-after-successful-test/
